Date,Close/Last,Volume,Open,High,Low
12/08/2021,$76.98,1801045,$77.42,$78.32,$76.44
12/07/2021,$77.70,2630438,$76.56,$77.88,$75.98
12/06/2021,$74.40,2344522,$73.96,$74.87,$71.85
12/03/2021,$73.62,2521041,$75.95,$76.79,$72.58
12/02/2021,$75.48,3484477,$73.46,$75.72,$73.3432
12/01/2021,$74.00,2585862,$76.07,$76.83,$73.94
11/30/2021,$74.45,3916735,$75.74,$76.33,$74.27
11/29/2021,$76.31,1764693,$76.66,$76.79,$74.75
11/26/2021,$74.35,2079781,$74.90,$75.10,$73.71
11/24/2021,$76.71,1718794,$76.02,$76.80,$75.12
11/23/2021,$76.68,2328284,$77.81,$78.1793,$76.32
11/22/2021,$78.30,2243080,$78.75,$79.89,$77.56
11/19/2021,$78.31,1979705,$78.65,$78.845,$77.06
11/18/2021,$78.41,1581315,$78.50,$79.16,$77.895
11/17/2021,$78.50,1680649,$78.28,$78.96,$77.69
11/16/2021,$78.14,2025740,$77.03,$78.38,$76.97
11/15/2021,$77.77,1365423,$78.84,$79.08,$77.60
11/12/2021,$78.78,1209577,$78.00,$78.94,$78.00
11/11/2021,$78.10,2364362,$76.97,$78.36,$76.50
11/10/2021,$76.07,3101944,$78.33,$78.71,$76.01
11/09/2021,$79.65,1761217,$79.13,$79.80,$78.74
11/08/2021,$78.93,4542896,$79.50,$80.69,$78.08
11/05/2021,$80.28,2803134,$81.55,$81.93,$78.97
11/04/2021,$81.08,2466516,$83.86,$83.90,$80.47
11/03/2021,$83.40,6857769,$81.25,$83.44,$80.295
11/02/2021,$80.76,8553441,$75.35,$80.9949,$75.21
11/01/2021,$77.65,3668371,$79.99,$80.00,$77.25
10/29/2021,$79.67,6016219,$78.41,$79.74,$77.77
10/28/2021,$79.25,3684223,$76.45,$79.29,$76.33
10/27/2021,$76.34,4092294,$76.09,$76.85,$74.97
10/26/2021,$76.55,4030665,$75.59,$77.04,$75.38
10/25/2021,$74.86,2165848,$74.25,$75.09,$73.54
10/22/2021,$73.54,2843925,$73.00,$73.825,$72.04
10/21/2021,$73.12,3389977,$70.46,$73.16,$70.40
10/20/2021,$70.58,3231526,$69.01,$70.59,$68.72
10/19/2021,$68.51,2446715,$67.53,$68.53,$67.02
10/18/2021,$67.13,1684418,$66.35,$67.15,$66.05
10/15/2021,$66.21,1593646,$67.49,$67.50,$66.02
10/14/2021,$66.81,1574394,$66.54,$66.915,$65.84
10/13/2021,$65.77,2016570,$66.08,$66.20,$65.07
10/12/2021,$65.29,2054990,$65.71,$65.99,$64.84
10/11/2021,$65.43,2872219,$66.03,$67.33,$65.258
10/08/2021,$65.51,4013627,$63.37,$65.74,$63.30
10/07/2021,$63.38,2178064,$62.82,$64.40,$62.69
10/06/2021,$61.86,2732048,$61.26,$62.38,$60.31
10/05/2021,$61.88,1962727,$60.79,$62.25,$60.28
10/04/2021,$60.27,2094547,$61.60,$61.90,$59.66
10/01/2021,$61.68,2234290,$61.35,$62.07,$60.63
09/30/2021,$60.88,2969119,$61.03,$61.73,$60.60
09/29/2021,$60.84,1941333,$60.35,$61.21,$59.84
09/28/2021,$60.02,2209449,$61.00,$61.14,$59.42
09/27/2021,$61.53,2332740,$61.78,$62.17,$60.56
09/24/2021,$62.03,2627524,$63.19,$63.51,$61.961
09/23/2021,$63.65,2896220,$63.89,$64.31,$63.27
09/22/2021,$63.60,1862824,$64.15,$64.23,$63.02
09/21/2021,$63.54,5286156,$63.36,$63.96,$62.75
